##CarInfo
ID:Int	Speed:Float	Price:Int	Type:EnumCarType	TestList:Array	Des:String	
ID	速度	价格	类型	测试列表	描述	
1	50.5	100	0	[1, 2, 3, 4]	"警车1"	
2	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
3	90.0	300	2	["a", "阿萨德"]	"消防车1"	
4	50.5	100	0	[1, 2, 3, 4]	"警车1"	
5	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
6	90.0	300	2	["a", "阿萨德"]	"消防车1"	
7	50.5	100	0	[1, 2, 3, 4]	"警车1"	
8	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
9	90.0	300	2	["a", "阿萨德"]	"消防车1"	
10	50.5	100	0	[1, 2, 3, 4]	"警车1"	
11	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
12	90.0	300	2	["a", "阿萨德"]	"消防车1"	
13	50.5	100	0	[1, 2, 3, 4]	"警车1"	
14	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
15	90.0	300	2	["a", "阿萨德"]	"消防车1"	
16	50.5	100	0	[1, 2, 3, 4]	"警车1"	
17	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
18	90.0	300	2	["a", "阿萨德"]	"消防车1"	
19	50.5	100	0	[1, 2, 3, 4]	"警车1"	
20	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
21	90.0	300	2	["a", "阿萨德"]	"消防车1"	
22	50.5	100	0	[1, 2, 3, 4]	"警车1"	
23	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
24	90.0	300	2	["a", "阿萨德"]	"消防车1"	
25	50.5	100	0	[1, 2, 3, 4]	"警车1"	
26	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
27	90.0	300	2	["a", "阿萨德"]	"消防车1"	
28	50.5	100	0	[1, 2, 3, 4]	"警车1"	
29	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
30	90.0	300	2	["a", "阿萨德"]	"消防车1"	
31	50.5	100	0	[1, 2, 3, 4]	"警车1"	
32	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
33	90.0	300	2	["a", "阿萨德"]	"消防车1"	
34	50.5	100	0	[1, 2, 3, 4]	"警车1"	
35	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
36	90.0	300	2	["a", "阿萨德"]	"消防车1"	
37	50.5	100	0	[1, 2, 3, 4]	"警车1"	
38	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
39	90.0	300	2	["a", "阿萨德"]	"消防车1"	
40	50.5	100	0	[1, 2, 3, 4]	"警车1"	
41	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
42	90.0	300	2	["a", "阿萨德"]	"消防车1"	
43	50.5	100	0	[1, 2, 3, 4]	"警车1"	
44	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
45	90.0	300	2	["a", "阿萨德"]	"消防车1"	
46	50.5	100	0	[1, 2, 3, 4]	"警车1"	
47	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
48	90.0	300	2	["a", "阿萨德"]	"消防车1"	
49	50.5	100	0	[1, 2, 3, 4]	"警车1"	
50	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
51	90.0	300	2	["a", "阿萨德"]	"消防车1"	
52	50.5	100	0	[1, 2, 3, 4]	"警车1"	
53	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
54	90.0	300	2	["a", "阿萨德"]	"消防车1"	
55	50.5	100	0	[1, 2, 3, 4]	"警车1"	
56	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
57	90.0	300	2	["a", "阿萨德"]	"消防车1"	
58	50.5	100	0	[1, 2, 3, 4]	"警车1"	
59	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
60	90.0	300	2	["a", "阿萨德"]	"消防车1"	
61	50.5	100	0	[1, 2, 3, 4]	"警车1"	
62	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
63	90.0	300	2	["a", "阿萨德"]	"消防车1"	
64	50.5	100	0	[1, 2, 3, 4]	"警车1"	
65	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
66	90.0	300	2	["a", "阿萨德"]	"消防车1"	
67	50.5	100	0	[1, 2, 3, 4]	"警车1"	
68	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
69	90.0	300	2	["a", "阿萨德"]	"消防车1"	
70	50.5	100	0	[1, 2, 3, 4]	"警车1"	
71	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
72	90.0	300	2	["a", "阿萨德"]	"消防车1"	
73	50.5	100	0	[1, 2, 3, 4]	"警车1"	
74	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
75	90.0	300	2	["a", "阿萨德"]	"消防车1"	
76	50.5	100	0	[1, 2, 3, 4]	"警车1"	
77	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
78	90.0	300	2	["a", "阿萨德"]	"消防车1"	
79	50.5	100	0	[1, 2, 3, 4]	"警车1"	
80	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
81	90.0	300	2	["a", "阿萨德"]	"消防车1"	
82	50.5	100	0	[1, 2, 3, 4]	"警车1"	
83	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
84	90.0	300	2	["a", "阿萨德"]	"消防车1"	
85	50.5	100	0	[1, 2, 3, 4]	"警车1"	
86	100.0	200	1	[1, 2, 3, 4, 5]	"救护车1"	
87	90.0	300	2	["a", "阿萨德"]	"消防车1"	
