##SpringEventConfig
ID:Int	LEVEL:Int	AWARD1:Array	AWARD2:Array	RATE:Array	
id	所需学校等级	写游记奖励	学雷锋奖励固定奖励	写游记的n倍奖励	
1	10	[[3, 0, 36000], [3, 1, 50000]]	[[0, 115001, 1]]	[2.5, 2.5]	
2	20	[[3, 0, 64800], [3, 1, 90000]]	[[0, 115001, 1]]	[2.5, 2.5]	
3	30	[[3, 0, 93600], [3, 1, 130000]]	[[0, 115001, 1]]	[2.5, 2.5]	
4	40	[[3, 0, 129600], [3, 1, 180000]]	[[0, 115001, 2]]	[2.5, 2.5]	
5	50	[[3, 0, 187200], [3, 1, 260000]]	[[0, 115001, 2]]	[3, 3]	
6	60	[[3, 0, 244800], [3, 1, 340000]]	[[0, 115001, 2]]	[3, 3]	
7	70	[[3, 0, 302400], [3, 1, 420000]]	[[0, 115001, 2]]	[3, 3]	
8	80	[[3, 0, 378000], [3, 1, 525000]]	[[0, 115001, 2]]	[4, 4]	
9	90	[[3, 0, 468000], [3, 1, 650000]]	[[0, 115001, 2]]	[4, 4]	
10	100	[[3, 0, 662400], [3, 1, 920000]]	[[0, 115001, 2]]	[4, 4]	
