##SpringNoteScoreConfig
ID:Int	EVENTTIMES:Array	BASE_SCORE:Int	SCORE_GROWTH:Int	
idX	游记事件次数	文科成绩基础要求	成绩增长值	
1	[0, 10]	1150	2	
2	[11, 20]	1200	4	
3	[21, 30]	1250	6	
4	[31, 40]	1300	8	
5	[41, 50]	1350	10	
6	[51, 60]	1400	12	
7	[61, 70]	1450	14	
8	[71, 80]	1500	16	
9	[81, 90]	1550	18	
10	[91, 100]	1600	20	
11	[101, 120]	1650	21	
12	[121, 140]	1700	22	
13	[141, 160]	1750	23	
14	[161, 180]	1800	24	
15	[181, 200]	1850	25	
16	[201, 250]	1900	26	
17	[251, 300]	1950	27	
18	[301, 350]	2000	28	
19	[351, 400]	2050	29	
20	[401, 450]	2100	30	
21	[451, 500]	2150	31	
22	[501, 550]	2200	32	
23	[551, 600]	2250	33	
24	[601, 650]	2300	34	
25	[651, 700]	2350	35	
26	[701, 750]	2400	36	
27	[751, 800]	2450	37	
28	[801, 850]	2500	38	
29	[851, 900]	2550	39	
30	[901, 950]	2600	40	
31	[951, 1000]	2650	41	
32	[1001, 1050]	2700	42	
33	[1051, 1100]	2750	43	
34	[1101, 1150]	2800	44	
35	[1151, 1200]	2850	45	
36	[1201, 1250]	2900	46	
37	[1251, 1300]	2950	47	
38	[1301, 1350]	3000	48	
39	[1351, 1400]	3050	49	
40	[1401, 1450]	3100	50	
41	[1451, 1500]	3150	51	
42	[1501, 1550]	3200	52	
43	[1551, 1600]	3250	53	
44	[1601, 1650]	3300	54	
45	[1651, 1700]	3350	55	
46	[1701, 1750]	3400	56	
47	[1751, 1800]	3450	57	
48	[1801, 1850]	3500	58	
49	[1851, 1900]	3550	59	
50	[1901, 1950]	3600	60	
51	[1951, 2000]	3650	61	
52	[2001, 2050]	3700	62	
53	[2051, 2100]	3750	63	
54	[2101, 2150]	3800	64	
55	[2151, 2200]	3850	65	
56	[2201, 2250]	3900	66	
57	[2251, 2300]	3950	67	
58	[2301, 2350]	4000	68	
59	[2351, 2400]	4050	69	
60	[2401, 2450]	4100	70	
61	[2451, 2500]	4150	71	
62	[2501, 2550]	4200	72	
63	[2551, 2600]	4250	73	
64	[2601, 2650]	4300	74	
65	[2651, 2700]	4350	75	
66	[2701, 2750]	4400	76	
67	[2751, 2800]	4450	77	
68	[2801, 2850]	4500	78	
69	[2851, 2900]	4550	79	
70	[2901, 2950]	4600	80	
71	[2951, 3000]	4650	81	
72	[3001, 3050]	4700	82	
73	[3051, 3100]	4750	83	
74	[3101, 3150]	4800	84	
75	[3151, 3200]	4850	85	
76	[3201, 3250]	4900	86	
77	[3251, 3300]	4950	87	
78	[3301, 3350]	5000	88	
79	[3351, 3400]	5050	89	
80	[3401, 3450]	5100	90	
81	[3451, 3500]	5150	91	
82	[3501, 3550]	5200	92	
83	[3551, 3600]	5250	93	
84	[3601, 3650]	5300	94	
85	[3651, 3700]	5350	95	
86	[3701, 3750]	5400	96	
87	[3751, 3800]	5450	97	
88	[3801, 3850]	5500	98	
89	[3851, 3900]	5550	99	
90	[3901, 4000]	5600	100	
91	[4001, 4100]	5650	101	
92	[4101, 4200]	5700	102	
93	[4201, 4300]	5750	103	
94	[4301, 4400]	5800	104	
95	[4401, 4500]	5850	105	
96	[4501, 4600]	5900	106	
97	[4601, 4700]	5950	107	
98	[4701, 4800]	6000	108	
99	[4801, 4900]	6050	109	
100	[4901, 5000]	6100	110	
