##SpringOutingConfig
ID:Int	PROGRESS:Int	ONE:Int	TEN:Int	DIAMOND:Array	
配置id	春游进度值	单次抽奖消耗油桶数	10次抽奖消耗油桶数	购买学雷锋所需钻石	
1	20	50	500	[50, 100, 150, 200]	
##SpringPoolsConfig
ID:Int	LEVEL:Int	AWARDTYPE:Int	AWARDID:Int	COUNT:Int	RATE:Int	
id	校长等级	奖励类型	奖励id	奖励数量	概率值	
1	10	3	1	20000	600	
2	10	3	1	25000	600	
3	10	0	155002	50	750	
4	10	0	122013	1	330	
5	10	0	120015	2	350	
6	10	0	120006	1	280	
7	10	3	0	16000	500	
8	10	3	0	18000	500	
9	10	3	1	20000	500	
10	10	3	1	25000	500	
11	10	0	122001	1	300	
12	10	0	120016	1	330	
13	10	3	1	20000	500	
14	10	3	1	25000	500	
15	10	0	130001	1	230	
16	10	0	130002	1	230	
17	10	3	0	16000	500	
18	10	3	0	18000	500	
19	10	3	1	20000	500	
20	10	3	1	25000	500	
21	10	0	122005	1	335	
22	10	0	122009	1	335	
23	10	3	8	50	230	
24	10	0	120018	1	100	
25	20	3	1	36000	600	
26	20	3	1	45000	600	
27	20	0	130001	1	400	
28	20	0	130002	1	400	
29	20	0	122013	1	200	
30	20	0	120015	2	300	
31	20	0	120006	1	200	
32	20	3	0	28800	500	
33	20	3	0	32400	500	
34	20	3	1	36000	500	
35	20	3	1	45000	500	
36	20	0	122001	1	500	
37	20	0	120016	1	400	
38	20	3	1	36000	300	
39	20	3	1	45000	300	
40	20	0	155002	70	800	
41	20	3	0	28800	500	
42	20	3	0	32400	500	
43	20	3	1	36000	500	
44	20	3	1	45000	500	
45	20	0	122005	1	300	
46	20	0	122009	1	300	
47	20	3	8	55	300	
48	20	0	120018	1	100	
49	30	3	1	52000	600	
50	30	3	1	65000	600	
51	30	0	130001	1	400	
52	30	0	130002	1	400	
53	30	0	122001	1	400	
54	30	0	120015	2	400	
55	30	0	120006	1	100	
56	30	3	0	41600	500	
57	30	3	0	46800	500	
58	30	3	1	52000	500	
59	30	3	1	65000	500	
60	30	0	130003	5	400	
61	30	0	120016	1	400	
62	30	3	1	52000	200	
63	30	3	1	65000	200	
64	30	0	155002	90	500	
65	30	0	122005	1	700	
66	30	3	0	46800	500	
67	30	0	122009	1	600	
68	30	3	1	65000	500	
69	30	0	122013	1	300	
70	30	0	130004	1	300	
71	30	3	8	60	400	
72	30	0	120018	1	100	
73	40	3	1	72000	500	
74	40	3	1	90000	500	
75	40	0	122001	1	400	
76	40	0	122002	1	400	
77	40	0	122003	1	400	
78	40	0	120015	2	400	
79	40	0	120006	1	300	
80	40	0	122006	1	400	
81	40	3	0	64800	500	
82	40	0	122010	1	400	
83	40	3	1	90000	500	
84	40	0	130003	1	400	
85	40	0	120016	1	400	
86	40	3	1	72000	400	
87	40	3	1	90000	400	
88	40	0	130001	1	400	
89	40	0	130002	1	400	
90	40	3	0	57600	500	
91	40	3	0	64800	500	
92	40	3	1	72000	500	
93	40	3	1	90000	500	
94	40	0	122013	1	300	
95	40	0	155002	110	300	
96	40	3	8	65	300	
97	50	3	1	104000	500	
98	50	3	1	130000	500	
99	50	0	130001	1	400	
100	50	0	130002	1	400	
101	50	0	130003	1	400	
102	50	0	120015	2	400	
103	50	0	120006	1	300	
104	50	0	122006	1	400	
105	50	3	0	93600	500	
106	50	0	122010	1	600	
107	50	3	1	130000	500	
108	50	0	155002	130	500	
109	50	0	120016	1	400	
110	50	3	1	104000	400	
111	50	3	1	130000	400	
112	50	0	115001	1	200	
113	50	0	122013	1	200	
114	50	3	0	83200	500	
115	50	3	0	93600	500	
116	50	3	1	104000	400	
117	50	3	1	130000	400	
118	50	0	122002	1	400	
119	50	0	122003	1	400	
120	50	3	8	70	400	
121	60	3	1	136000	500	
122	60	3	1	170000	500	
123	60	0	122001	1	400	
124	60	0	122002	1	400	
125	60	0	122003	1	400	
126	60	0	120016	2	400	
127	60	0	120006	1	300	
128	60	0	122006	1	400	
129	60	3	0	122400	500	
130	60	0	122010	1	500	
131	60	3	1	170000	500	
132	60	0	130002	1	400	
133	60	0	120017	1	400	
134	60	0	130003	1	400	
135	60	0	130004	1	400	
136	60	0	130005	1	300	
137	60	3	0	108800	500	
138	60	3	0	122400	500	
139	60	3	1	136000	500	
140	60	3	1	170000	500	
141	60	0	122013	1	400	
142	60	0	155002	150	400	
143	60	3	8	75	400	
144	60	0	120019	1	100	
145	70	3	1	168000	500	
146	70	3	1	210000	500	
147	70	0	122001	1	400	
148	70	0	122002	1	400	
149	70	0	122003	1	400	
150	70	0	120016	2	300	
151	70	0	120006	1	300	
152	70	0	122006	2	400	
153	70	3	0	151200	400	
154	70	0	122010	2	400	
155	70	3	1	210000	500	
156	70	0	130002	1	500	
157	70	0	120017	1	200	
158	70	0	130003	1	500	
159	70	0	130004	1	400	
160	70	0	130005	1	200	
161	70	3	0	134400	500	
162	70	3	0	151200	500	
163	70	3	1	168000	500	
164	70	3	1	210000	500	
165	70	0	122013	1	300	
166	70	0	155002	170	900	
167	70	3	8	80	400	
168	70	0	120019	1	100	
169	80	3	1	210000	500	
170	80	3	1	262500	500	
171	80	0	122001	1	400	
172	80	0	122002	1	400	
173	80	0	122003	1	400	
174	80	0	120016	2	300	
175	80	0	120006	1	300	
176	80	0	122006	3	400	
177	80	3	0	189000	400	
178	80	0	122010	3	400	
179	80	3	1	262500	500	
180	80	0	130002	1	500	
181	80	0	120017	1	200	
182	80	0	130003	1	500	
183	80	0	130004	1	400	
184	80	0	122013	1	200	
185	80	0	130005	1	200	
186	80	3	0	168000	500	
187	80	3	0	189000	500	
188	80	3	1	210000	500	
189	80	3	1	262500	500	
190	80	0	130005	1	200	
191	80	0	155002	190	1000	
192	80	3	8	85	300	
193	90	3	1	260000	500	
194	90	3	1	325000	500	
195	90	0	122001	1	400	
196	90	0	122002	1	400	
197	90	0	122003	1	400	
198	90	0	120016	2	300	
199	90	0	120006	1	300	
200	90	0	122006	4	400	
201	90	3	0	234000	400	
202	90	0	122010	4	400	
203	90	3	1	325000	500	
204	90	0	130002	1	500	
205	90	0	120017	1	200	
206	90	0	130003	1	500	
207	90	0	130004	1	400	
208	90	0	122013	1	200	
209	90	0	130005	1	200	
210	90	3	0	208000	500	
211	90	3	0	234000	500	
212	90	3	1	260000	500	
213	90	3	1	325000	500	
214	90	0	130005	1	200	
215	90	0	155002	210	1000	
216	90	3	8	90	300	
217	100	3	1	368000	500	
218	100	3	1	460000	500	
219	100	0	122001	1	400	
220	100	0	122002	1	400	
221	100	0	122003	1	400	
222	100	0	120016	2	300	
223	100	0	120006	1	300	
224	100	0	122007	1	400	
225	100	3	0	331200	400	
226	100	0	122011	1	400	
227	100	3	1	460000	500	
228	100	0	130002	1	500	
229	100	0	120017	1	200	
230	100	0	130003	1	500	
231	100	0	130004	1	400	
232	100	0	122013	1	200	
233	100	0	130005	1	200	
234	100	3	0	294400	500	
235	100	3	0	331200	500	
236	100	3	1	368000	500	
237	100	3	1	460000	500	
238	100	0	130005	1	200	
239	100	0	155002	230	1000	
240	100	3	8	90	300	
##SpringEventConfig
ID:Int	LEVEL:Int	AWARD1:Array	AWARD2:Array	RATE:Array	
id	所需学校等级	写游记奖励	学雷锋奖励固定奖励	写游记的n倍奖励	
1	10	[[3, 0, 36000], [3, 1, 50000]]	[[0, 115001, 1]]	[2.5, 2.5]	
2	20	[[3, 0, 64800], [3, 1, 90000]]	[[0, 115001, 1]]	[2.5, 2.5]	
3	30	[[3, 0, 93600], [3, 1, 130000]]	[[0, 115001, 1]]	[2.5, 2.5]	
4	40	[[3, 0, 129600], [3, 1, 180000]]	[[0, 115001, 2]]	[2.5, 2.5]	
5	50	[[3, 0, 187200], [3, 1, 260000]]	[[0, 115001, 2]]	[3, 3]	
6	60	[[3, 0, 244800], [3, 1, 340000]]	[[0, 115001, 2]]	[3, 3]	
7	70	[[3, 0, 302400], [3, 1, 420000]]	[[0, 115001, 2]]	[3, 3]	
8	80	[[3, 0, 378000], [3, 1, 525000]]	[[0, 115001, 2]]	[4, 4]	
9	90	[[3, 0, 468000], [3, 1, 650000]]	[[0, 115001, 2]]	[4, 4]	
10	100	[[3, 0, 662400], [3, 1, 920000]]	[[0, 115001, 2]]	[4, 4]	
##SpringNoteScoreConfig
ID:Int	EVENTTIMES:Array	BASE_SCORE:Int	SCORE_GROWTH:Int	
idX	游记事件次数	文科成绩基础要求	成绩增长值	
1	[0, 10]	1150	2	
2	[11, 20]	1200	4	
3	[21, 30]	1250	6	
4	[31, 40]	1300	8	
5	[41, 50]	1350	10	
6	[51, 60]	1400	12	
7	[61, 70]	1450	14	
8	[71, 80]	1500	16	
9	[81, 90]	1550	18	
10	[91, 100]	1600	20	
11	[101, 120]	1650	21	
12	[121, 140]	1700	22	
13	[141, 160]	1750	23	
14	[161, 180]	1800	24	
15	[181, 200]	1850	25	
16	[201, 250]	1900	26	
17	[251, 300]	1950	27	
18	[301, 350]	2000	28	
19	[351, 400]	2050	29	
20	[401, 450]	2100	30	
21	[451, 500]	2150	31	
22	[501, 550]	2200	32	
23	[551, 600]	2250	33	
24	[601, 650]	2300	34	
25	[651, 700]	2350	35	
26	[701, 750]	2400	36	
27	[751, 800]	2450	37	
28	[801, 850]	2500	38	
29	[851, 900]	2550	39	
30	[901, 950]	2600	40	
31	[951, 1000]	2650	41	
32	[1001, 1050]	2700	42	
33	[1051, 1100]	2750	43	
34	[1101, 1150]	2800	44	
35	[1151, 1200]	2850	45	
36	[1201, 1250]	2900	46	
37	[1251, 1300]	2950	47	
38	[1301, 1350]	3000	48	
39	[1351, 1400]	3050	49	
40	[1401, 1450]	3100	50	
41	[1451, 1500]	3150	51	
42	[1501, 1550]	3200	52	
43	[1551, 1600]	3250	53	
44	[1601, 1650]	3300	54	
45	[1651, 1700]	3350	55	
46	[1701, 1750]	3400	56	
47	[1751, 1800]	3450	57	
48	[1801, 1850]	3500	58	
49	[1851, 1900]	3550	59	
50	[1901, 1950]	3600	60	
51	[1951, 2000]	3650	61	
52	[2001, 2050]	3700	62	
53	[2051, 2100]	3750	63	
54	[2101, 2150]	3800	64	
55	[2151, 2200]	3850	65	
