##SpringPoolsConfig
ID:Int	LEVEL:Int	AWARDTYPE:Int	AWARDID:Int	COUNT:Int	RATE:Int	
id	校长等级	奖励类型	奖励id	奖励数量	概率值	
1	10	3	1	20000	600	
2	10	3	1	25000	600	
3	10	0	155002	50	750	
4	10	0	122013	1	330	
5	10	0	120015	2	350	
6	10	0	120006	1	280	
7	10	3	0	16000	500	
8	10	3	0	18000	500	
9	10	3	1	20000	500	
10	10	3	1	25000	500	
11	10	0	122001	1	300	
12	10	0	120016	1	330	
13	10	3	1	20000	500	
14	10	3	1	25000	500	
15	10	0	130001	1	230	
16	10	0	130002	1	230	
17	10	3	0	16000	500	
18	10	3	0	18000	500	
19	10	3	1	20000	500	
20	10	3	1	25000	500	
21	10	0	122005	1	335	
22	10	0	122009	1	335	
23	10	3	8	50	230	
24	10	0	120018	1	100	
25	20	3	1	36000	600	
26	20	3	1	45000	600	
27	20	0	130001	1	400	
28	20	0	130002	1	400	
29	20	0	122013	1	200	
30	20	0	120015	2	300	
31	20	0	120006	1	200	
32	20	3	0	28800	500	
33	20	3	0	32400	500	
34	20	3	1	36000	500	
35	20	3	1	45000	500	
36	20	0	122001	1	500	
37	20	0	120016	1	400	
38	20	3	1	36000	300	
39	20	3	1	45000	300	
40	20	0	155002	70	800	
41	20	3	0	28800	500	
42	20	3	0	32400	500	
43	20	3	1	36000	500	
44	20	3	1	45000	500	
45	20	0	122005	1	300	
46	20	0	122009	1	300	
47	20	3	8	55	300	
48	20	0	120018	1	100	
49	30	3	1	52000	600	
50	30	3	1	65000	600	
51	30	0	130001	1	400	
52	30	0	130002	1	400	
53	30	0	122001	1	400	
54	30	0	120015	2	400	
55	30	0	120006	1	100	
56	30	3	0	41600	500	
57	30	3	0	46800	500	
58	30	3	1	52000	500	
59	30	3	1	65000	500	
60	30	0	130003	5	400	
61	30	0	120016	1	400	
62	30	3	1	52000	200	
63	30	3	1	65000	200	
64	30	0	155002	90	500	
65	30	0	122005	1	700	
66	30	3	0	46800	500	
67	30	0	122009	1	600	
68	30	3	1	65000	500	
69	30	0	122013	1	300	
70	30	0	130004	1	300	
71	30	3	8	60	400	
72	30	0	120018	1	100	
73	40	3	1	72000	500	
74	40	3	1	90000	500	
75	40	0	122001	1	400	
76	40	0	122002	1	400	
77	40	0	122003	1	400	
78	40	0	120015	2	400	
79	40	0	120006	1	300	
80	40	0	122006	1	400	
81	40	3	0	64800	500	
82	40	0	122010	1	400	
83	40	3	1	90000	500	
84	40	0	130003	1	400	
85	40	0	120016	1	400	
86	40	3	1	72000	400	
87	40	3	1	90000	400	
88	40	0	130001	1	400	
89	40	0	130002	1	400	
90	40	3	0	57600	500	
91	40	3	0	64800	500	
92	40	3	1	72000	500	
93	40	3	1	90000	500	
94	40	0	122013	1	300	
95	40	0	155002	110	300	
96	40	3	8	65	300	
97	50	3	1	104000	500	
98	50	3	1	130000	500	
99	50	0	130001	1	400	
100	50	0	130002	1	400	
101	50	0	130003	1	400	
102	50	0	120015	2	400	
103	50	0	120006	1	300	
104	50	0	122006	1	400	
105	50	3	0	93600	500	
106	50	0	122010	1	600	
107	50	3	1	130000	500	
108	50	0	155002	130	500	
109	50	0	120016	1	400	
110	50	3	1	104000	400	
111	50	3	1	130000	400	
112	50	0	115001	1	200	
113	50	0	122013	1	200	
114	50	3	0	83200	500	
115	50	3	0	93600	500	
116	50	3	1	104000	400	
117	50	3	1	130000	400	
118	50	0	122002	1	400	
119	50	0	122003	1	400	
120	50	3	8	70	400	
121	60	3	1	136000	500	
122	60	3	1	170000	500	
123	60	0	122001	1	400	
124	60	0	122002	1	400	
125	60	0	122003	1	400	
126	60	0	120016	2	400	
127	60	0	120006	1	300	
128	60	0	122006	1	400	
129	60	3	0	122400	500	
130	60	0	122010	1	500	
131	60	3	1	170000	500	
132	60	0	130002	1	400	
133	60	0	120017	1	400	
134	60	0	130003	1	400	
135	60	0	130004	1	400	
136	60	0	130005	1	300	
137	60	3	0	108800	500	
138	60	3	0	122400	500	
139	60	3	1	136000	500	
140	60	3	1	170000	500	
141	60	0	122013	1	400	
142	60	0	155002	150	400	
143	60	3	8	75	400	
144	60	0	120019	1	100	
145	70	3	1	168000	500	
146	70	3	1	210000	500	
147	70	0	122001	1	400	
148	70	0	122002	1	400	
149	70	0	122003	1	400	
150	70	0	120016	2	300	
151	70	0	120006	1	300	
152	70	0	122006	2	400	
153	70	3	0	151200	400	
154	70	0	122010	2	400	
155	70	3	1	210000	500	
156	70	0	130002	1	500	
157	70	0	120017	1	200	
158	70	0	130003	1	500	
159	70	0	130004	1	400	
160	70	0	130005	1	200	
161	70	3	0	134400	500	
162	70	3	0	151200	500	
163	70	3	1	168000	500	
164	70	3	1	210000	500	
165	70	0	122013	1	300	
166	70	0	155002	170	900	
167	70	3	8	80	400	
168	70	0	120019	1	100	
169	80	3	1	210000	500	
170	80	3	1	262500	500	
171	80	0	122001	1	400	
172	80	0	122002	1	400	
173	80	0	122003	1	400	
174	80	0	120016	2	300	
175	80	0	120006	1	300	
176	80	0	122006	3	400	
177	80	3	0	189000	400	
178	80	0	122010	3	400	
179	80	3	1	262500	500	
180	80	0	130002	1	500	
181	80	0	120017	1	200	
182	80	0	130003	1	500	
183	80	0	130004	1	400	
184	80	0	122013	1	200	
185	80	0	130005	1	200	
186	80	3	0	168000	500	
187	80	3	0	189000	500	
188	80	3	1	210000	500	
189	80	3	1	262500	500	
190	80	0	130005	1	200	
191	80	0	155002	190	1000	
192	80	3	8	85	300	
193	90	3	1	260000	500	
194	90	3	1	325000	500	
195	90	0	122001	1	400	
196	90	0	122002	1	400	
197	90	0	122003	1	400	
198	90	0	120016	2	300	
199	90	0	120006	1	300	
200	90	0	122006	4	400	
201	90	3	0	234000	400	
202	90	0	122010	4	400	
203	90	3	1	325000	500	
204	90	0	130002	1	500	
205	90	0	120017	1	200	
206	90	0	130003	1	500	
207	90	0	130004	1	400	
208	90	0	122013	1	200	
209	90	0	130005	1	200	
210	90	3	0	208000	500	
211	90	3	0	234000	500	
212	90	3	1	260000	500	
213	90	3	1	325000	500	
214	90	0	130005	1	200	
215	90	0	155002	210	1000	
216	90	3	8	90	300	
217	100	3	1	368000	500	
218	100	3	1	460000	500	
219	100	0	122001	1	400	
220	100	0	122002	1	400	
221	100	0	122003	1	400	
222	100	0	120016	2	300	
223	100	0	120006	1	300	
224	100	0	122007	1	400	
225	100	3	0	331200	400	
226	100	0	122011	1	400	
227	100	3	1	460000	500	
228	100	0	130002	1	500	
229	100	0	120017	1	200	
230	100	0	130003	1	500	
231	100	0	130004	1	400	
232	100	0	122013	1	200	
233	100	0	130005	1	200	
234	100	3	0	294400	500	
235	100	3	0	331200	500	
236	100	3	1	368000	500	
237	100	3	1	460000	500	
238	100	0	130005	1	200	
239	100	0	155002	230	1000	
240	100	3	8	90	300	
