ID:INT	GroupId:INT	ChildIDList:ARRAYDATA	EventID:INT	IsSubSocre:BOOL	Text:STRING
id	分组id	下一组id	触发事件类型id	是否扣分	对话内容
1	0	[2]	0	0	1|你好？
2	0	[3]	0	0	1|在听么？
3	0	[4]	0	0	0|这里是911，有什么可以帮到你的？
4	0	[5,634]	0	0	1|我的天啊，我被人抢劫了。
5	0	[7]	0	0	0|先生，你被袭击了吗?这是入室盗窃吗?
7	0	[6,8,9]	0	0	1|不，只是个无耻的抢劫犯!交易的规则是这样的：“我扔下斧子，他扔下金币”。但那个混蛋拿了斧子就跑了，金币还没给我呢!
6	0	[24]	0	0	0|这件事是在哪里发生的?
24	0	[16]	0	0	1|在常青林的铁匠铺附近。
16	0	[17]	0	0	0|我需要知道你的真实地址。
17	0	[40]	0	0	1|这里是#龙山南路117号#
40	0	[41]	0	0	0|好吧，我派警察去找你。
41	0	[]	5	0	1|你最好快点！
8	0	[10]	0	0	0|所以，他应该用…金币来支付？
10	0	[11,12]	0	0	1|是的，金子这是这里的货币。我们已经商定以6000枚金币的价格进行交易。
11	0	[13]	0	0	0|我有点懵，不太能理解你的意思。
13	0	[9,14]	0	0	1|游戏中的交易就是这样进行的，但他欺骗了我，偷走了我的斧头！
9	0	[36]	0	0	0|先生。虚拟世界中发生的事件不是紧急情况。
36	0	[38,39,40,16]	0	0	1|但这是抢劫！
38	0	[42]	0	0	0|你老实说，如果我派警察过去会对你有帮助吗?
42	0	[16,50,40]	0	0	1|额……是不一定有帮助，但就是不爽
50	0	[51]	0	0	0|恕我无能为力，先生。
51	0	[]	5	1	1|呃……天哪。 好吧，我会找到他，然后亲手杀了他。
39	0	[]	0	0	0|回到现实吧，伙计。911只处理现实中的紧急情况。
14	0	[15]	0	0	0|你知道是谁干的吗？
15	0	[16,6,9]	0	0	1|他的昵称是 NiceOrk1337，是迷雾刺客公会的一员。
12	0	[52]	0	0	0|什么东西被抢了？
52	0	[54]	0	0	1|我的斧头!我为了它付出了许多心血!
54	0	[55]	0	0	0|对不起，我真的听不懂。
55	0	[13]	0	0	1|嘿，很简单的。
634	0	[7]	0	0	0|你有受伤吗？
61	1	[62]	0	0	1|你好？
62	1	[64]	0	0	0|这里是112，有什么可以帮您的？
64	1	[65,148,149,150]	0	0	1|小心。小心，不要…你好？我从一所武术学校打来电话，我认为我的一个学生扭伤了膝盖，我们需要一辆救护车。
65	1	[71]	0	0	0|他现在感觉怎么样？
71	1	[74]	0	0	1|嗯，他看上去不是很开心
74	1	[76]	0	0	0|我的意思是，那名学员的身体感觉怎么样？
76	1	[78,156]	0	0	1|好吧，看他现在很痛苦，但应该不会危及生命。
78	1	[80]	0	0	0|他现在有意识吗？
