ID:INT	GroupId:INT	ChildIDList:ARRAYDATA	EventID:INT	IsSubSocre:BOOL	Text:STRING
id	分组id	下一组id	父节点列表	是否扣分	对话内容
1	0	[2]	0	0	3
2	0	[3]	0	0	1
3	0	[4]	0	0	2
4	0	[5,6]	0	0	5
5	0	[7]	0	0	8
7	0	[6,8,9]	0	0	9
6	0	[24]	0	0	28
24	0	[16]	0	0	11
16	0	[17]	0	0	27
17	0	[]	0	0	15
8	0	[10]	0	0	17
10	0	[11,12]	0	0	10
11	0	[13]	0	0	12
13	0	[9,14]	0	0	14
9	0	[36]	0	0	19
36	0	[38,39,40,16]	0	0	20
38	0	[42]	0	0	22
42	0	[16,50]	0	0	25
39	0	[]	0	0	21
40	0	[41]	0	0	23
41	0	[]	0	0	26
14	0	[15]	0	0	16
15	0	[16,6,9]	0	0	18
12	0	[52]	0	0	13
50	0	[51]	0	0	29
51	0	[]	0	0	30
52	0	[54]	0	0	7
54	0	[55]	0	0	4
55	0	[6]	0	0	6
